,open,high,low,close,adj close,volume,prev_diff,close_50_sma,10_day_volatility,sm_open,sm_high,sm_low,sm_close,sm_adj_close,sm_volume,sm_prev_diff,sm_close_50_sma,sm_10_day_volatility
2010-02-28,29.2323806667,29.722381,29.1857143333,29.6476193333,26.577117,133970666.667,0.208096,28.8643949833,0.414933343498,1104.60664867,1113.15332,1102.76000967,1111.96997067,1111.96997067,3880156666.67,3.73999,1101.83906281,4.58302629992
2010-03-01,29.392857,29.928572,29.35,29.855715,26.763662,137523400.0,0.208096,28.85941403,0.504344127531,1105.359985,1116.109985,1105.359985,1115.709961,1115.709961,3847640000.0,3.73999,1101.22699576,5.36288039033
2010-03-02,29.99,30.118572,29.677143,29.835714,26.745731,141636600.0,-0.020001,28.85581401,0.554893262935,1117.01001,1123.459961,1116.51001,1118.310059,1118.310059,4134680000.0,2.600098,1100.65359734,6.37473181434
2010-03-03,29.848572,29.981428,29.705715,29.904285,26.807201,93013200.0,0.068571,28.86041399,0.583933565101,1119.359985,1125.640015,1116.579956,1118.790039,1118.790039,3951320000.0,0.47998,1100.3049987,7.18477423704
2010-03-04,29.897142,30.131428,29.804285,30.101429,26.983929,91510300.0,0.197144,28.86058543,0.601524268618,1119.119995,1123.72998,1116.660034,1122.969971,1122.969971,3945010000.0,4.179932,1099.85079704,8.32542088785
2010-03-05,30.705715,31.385714,30.661428,31.278572,28.03916,224905100.0,1.177143,28.88778545,0.693137487886,1125.119995,1139.380005,1125.119995,1138.699951,1138.699951,4133000000.0,15.72998,1099.65559684,10.2786579406
2010-03-06,30.9471433333,31.4042856667,30.8338093333,31.284762,28.044707,185760866.667,0.00619,28.92510927,0.752061157577,1129.54667133,1139.93668633,1129.00333667,1138.63330067,1138.63330067,4013560000.0,-0.06665,1099.70766227,11.9414040736
2010-03-07,31.1885716667,31.4228573333,31.0061906667,31.290952,28.050254,146616633.333,0.00619,28.95604975,0.754883623486,1133.97334767,1140.49336767,1132.88667833,1138.56665033,1138.56665033,3894120000.0,-0.06665,1099.68739495,12.2062750434
2010-03-08,31.43,31.441429,31.178572,31.297142,28.055801,107472400.0,0.00619,28.98060689,0.74773476782,1138.400024,1141.050049,1136.77002,1138.5,1138.5,3774680000.0,-0.06665,1099.59479486,11.6816313383
2010-03-09,31.187143,32.142857,31.127142,31.860001,28.560369,230064800.0,0.562859,29.00991407,0.790279094512,1137.560059,1145.369995,1134.900024,1140.449951,1140.449951,5185570000.0,1.949951,1099.47019403,11.0263861656
